"Geo","time","value"
"AT","2000","100.0"
"AT","2001","101.9"
"AT","2002","103.4"
"AT","2003","107.4"
"AT","2004","105.4"
"AT","2005","103.0"
"AT","2006","97.6"
"AT","2007","94.2"
"AT","2008","92.0"
"AT","2009","91.9"
"AT","2010","90.2"
"AT","2011","89.3"
"AT","2012","86.1"
"AT","2013","85.3"
"AT","2014","82.5"
"AT","2015","83.2"
"AT","2016","84.1"
"AT","2017","85.1"
"AT","2018","85.0"
"BE","2000","100.0"
"BE","2001","101.3"
"BE","2002","105.4"
"BE","2003","102.0"
"BE","2004","101.5"
"BE","2005","100.1"
"BE","2006","99.5"
"BE","2007","99.2"
"BE","2008","95.8"
"BE","2009","93.3"
"BE","2010","90.9"
"BE","2011","87.5"
"BE","2012","90.8"
"BE","2013","87.0"
"BE","2014","85.8"
"BE","2015","90.1"
"BE","2016","83.6"
"BE","2017","83.6"
"BE","2018","87.0"
"BG","2000","100.0"
"BG","2001","104.4"
"BG","2002","102.6"
"BG","2003","109.0"
"BG","2004","108.6"
"BG","2005","104.4"
"BG","2006","103.6"
"BG","2007","113.5"
"BG","2008","113.8"
"BG","2009","115.1"
"BG","2010","117.9"
"BG","2011","122.1"
"BG","2012","115.5"
"BG","2013","109.0"
"BG","2014","110.1"
"BG","2015","111.8"
"BG","2016","106.5"
"BG","2017","108.5"
"BG","2018","99.2"
"CY","2000","100.0"
"CY","2001","97.3"
"CY","2002","99.1"
"CY","2003","96.7"
"CY","2004","105.3"
"CY","2005","106.4"
"CY","2006","105.1"
"CY","2007","105.0"
"CY","2008","101.7"
"CY","2009","103.2"
"CY","2010","103.3"
"CY","2011","101.0"
"CY","2012","100.5"
"CY","2013","100.0"
"CY","2014","100.8"
"CY","2015","100.5"
"CY","2016","99.9"
"CY","2017","97.4"
"CY","2018","93.5"
"CZ","2000","100.0"
"CZ","2001","97.7"
"CZ","2002","93.8"
"CZ","2003","91.7"
"CZ","2004","89.2"
"CZ","2005","89.5"
"CZ","2006","87.6"
"CZ","2007","88.4"
"CZ","2008","86.3"
"CZ","2009","87.5"
"CZ","2010","83.4"
"CZ","2011","85.0"
"CZ","2012","82.5"
"CZ","2013","77.9"
"CZ","2014","78.2"
"CZ","2015","78.8"
"CZ","2016","80.7"
"CZ","2017","77.0"
"CZ","2018","75.2"
"DE","2000","100.0"
"DE","2001","99.5"
"DE","2002","99.9"
"DE","2003","99.1"
"DE","2004","96.5"
"DE","2005","94.5"
"DE","2006","92.8"
"DE","2007","94.6"
"DE","2008","94.1"
"DE","2009","93.5"
"DE","2010","93.3"
"DE","2011","95.4"
"DE","2012","95.4"
"DE","2013","95.4"
"DE","2014","94.7"
"DE","2015","94.9"
"DE","2016","94.7"
"DE","2017","92.0"
"DE","2018","90.2"
"DK","2000","100.0"
"DK","2001","100.1"
"DK","2002","100.9"
"DK","2003","104.7"
"DK","2004","97.5"
"DK","2005","93.3"
"DK","2006","100.6"
"DK","2007","94.3"
"DK","2008","90.9"
"DK","2009","91.8"
"DK","2010","87.6"
"DK","2011","84.2"
"DK","2012","78.4"
"DK","2013","81.9"
"DK","2014","77.3"
"DK","2015","72.5"
"DK","2016","73.4"
"DK","2017","67.6"
"DK","2018","67.2"
"EE","2000","100.0"
"EE","2001","98.0"
"EE","2002","100.3"
"EE","2003","101.8"
"EE","2004","100.7"
"EE","2005","100.2"
"EE","2006","98.0"
"EE","2007","107.0"
"EE","2008","97.9"
"EE","2009","93.9"
"EE","2010","105.2"
"EE","2011","104.7"
"EE","2012","99.7"
"EE","2013","98.7"
"EE","2014","101.6"
"EE","2015","92.6"
"EE","2016","92.4"
"EE","2017","102.5"
"EE","2018","89.0"
"EL","2000","100.0"
"EL","2001","99.4"
"EL","2002","97.7"
"EL","2003","98.8"
"EL","2004","97.6"
"EL","2005","99.6"
"EL","2006","98.0"
"EL","2007","100.1"
"EL","2008","96.6"
"EL","2009","95.3"
"EL","2010","94.7"
"EL","2011","96.3"
"EL","2012","93.3"
"EL","2013","93.3"
"EL","2014","89.5"
"EL","2015","85.2"
"EL","2016","81.6"
"EL","2017","83.0"
"EL","2018","81.4"
"ES","2000","100.0"
"ES","2001","97.8"
"ES","2002","101.5"
"ES","2003","99.2"
"ES","2004","99.8"
"ES","2005","102.0"
"ES","2006","99.3"
"ES","2007","99.9"
"ES","2008","95.1"
"ES","2009","92.2"
"ES","2010","87.4"
"ES","2011","88.7"
"ES","2012","87.7"
"ES","2013","84.8"
"ES","2014","86.6"
"ES","2015","88.6"
"ES","2016","83.9"
"ES","2017","84.6"
"ES","2018","83.0"
"EU27_2020","2000","100.0"
"EU27_2020","2001","99.4"
"EU27_2020","2002","99.2"
"EU27_2020","2003","98.9"
"EU27_2020","2004","97.4"
"EU27_2020","2005","96.5"
"EU27_2020","2006","95.8"
"EU27_2020","2007","95.8"
"EU27_2020","2008","94.2"
"EU27_2020","2009","93.1"
"EU27_2020","2010","91.8"
"EU27_2020","2011","91.5"
"EU27_2020","2012","90.9"
"EU27_2020","2013","89.5"
"EU27_2020","2014","88.2"
"EU27_2020","2015","88.7"
"EU27_2020","2016","88.0"
"EU27_2020","2017","86.7"
"EU27_2020","2018","85.2"
"EU28","2000","100.0"
"EU28","2001","99.6"
"EU28","2002","99.2"
"EU28","2003","98.9"
"EU28","2004","97.8"
"EU28","2005","96.8"
"EU28","2006","96.3"
"EU28","2007","96.4"
"EU28","2008","94.9"
"EU28","2009","93.8"
"EU28","2010","92.6"
"EU28","2011","92.1"
"EU28","2012","91.8"
"EU28","2013","90.4"
"EU28","2014","89.0"
"EU28","2015","88.7"
"EU28","2016","87.7"
"EU28","2017","86.4"
"EU28","2018","84.9"
"FI","2000","100.0"
"FI","2001","107.3"
"FI","2002","106.5"
"FI","2003","113.4"
"FI","2004","105.8"
"FI","2005","94.0"
"FI","2006","104.2"
"FI","2007","102.4"
"FI","2008","92.2"
"FI","2009","95.3"
"FI","2010","99.7"
"FI","2011","90.8"
"FI","2012","84.8"
"FI","2013","87.2"
"FI","2014","78.6"
"FI","2015","75.9"
"FI","2016","77.7"
"FI","2017","73.1"
"FI","2018","73.6"
"FR","2000","100.0"
"FR","2001","98.1"
"FR","2002","96.4"
"FR","2003","95.8"
"FR","2004","94.1"
"FR","2005","94.3"
"FR","2006","93.2"
"FR","2007","91.3"
"FR","2008","89.4"
"FR","2009","89.8"
"FR","2010","88.5"
"FR","2011","83.6"
"FR","2012","84.4"
"FR","2013","84.4"
"FR","2014","79.6"
"FR","2015","79.7"
"FR","2016","81.8"
"FR","2017","82.9"
"FR","2018","79.6"
"HR","2000","100.0"
"HR","2001","101.8"
"HR","2002","104.8"
"HR","2003","104.7"
"HR","2004","101.8"
"HR","2005","102.0"
"HR","2006","102.8"
"HR","2007","104.6"
"HR","2008","101.7"
"HR","2009","99.7"
"HR","2010","96.8"
"HR","2011","97.7"
"HR","2012","96.2"
"HR","2013","94.0"
"HR","2014","93.3"
"HR","2015","90.7"
"HR","2016","92.0"
"HR","2017","90.9"
"HR","2018","87.9"
"HU","2000","100.0"
"HU","2001","101.1"
"HU","2002","99.0"
"HU","2003","102.1"
"HU","2004","98.6"
"HU","2005","90.5"
"HU","2006","90.3"
"HU","2007","89.8"
"HU","2008","90.0"
"HU","2009","86.3"
"HU","2010","84.3"
"HU","2011","82.9"
"HU","2012","81.3"
"HU","2013","79.5"
"HU","2014","78.8"
"HU","2015","79.0"
"HU","2016","79.8"
"HU","2017","79.3"
"HU","2018","78.7"
"IE","2000","100.0"
"IE","2001","99.6"
"IE","2002","95.3"
"IE","2003","101.1"
"IE","2004","98.2"
"IE","2005","100.0"
"IE","2006","98.4"
"IE","2007","94.8"
"IE","2008","96.0"
"IE","2009","90.8"
"IE","2010","90.8"
"IE","2011","90.2"
"IE","2012","89.4"
"IE","2013","90.4"
"IE","2014","88.1"
"IE","2015","87.5"
"IE","2016","86.2"
"IE","2017","84.9"
"IE","2018","83.5"
"IS","2000","100.0"
"IS","2001","98.1"
"IS","2002","100.5"
"IS","2003","100.0"
"IS","2004","105.0"
"IS","2005","97.9"
"IS","2006","80.9"
"IS","2007","73.7"
"IS","2008","60.5"
"IS","2009","56.0"
"IS","2010","56.6"
"IS","2011","49.0"
"IS","2012","48.7"
"IS","2013","45.7"
"IS","2014","46.0"
"IS","2015","48.5"
"IS","2016","49.8"
"IS","2017","47.7"
"IS","2018","44.4"
"IT","2000","100.0"
"IT","2001","99.6"
"IT","2002","100.4"
"IT","2003","99.4"
"IT","2004","99.5"
"IT","2005","97.8"
"IT","2006","97.5"
"IT","2007","96.2"
"IT","2008","95.7"
"IT","2009","91.8"
"IT","2010","92.0"
"IT","2011","92.2"
"IT","2012","92.1"
"IT","2013","87.8"
"IT","2014","87.8"
"IT","2015","87.6"
"IT","2016","87.5"
"IT","2017","83.4"
"IT","2018","83.7"
"LT","2000","100.0"
"LT","2001","92.9"
"LT","2002","87.3"
"LT","2003","83.7"
"LT","2004","87.3"
"LT","2005","98.6"
"LT","2006","100.3"
"LT","2007","94.3"
"LT","2008","93.2"
"LT","2009","93.5"
"LT","2010","124.9"
"LT","2011","112.6"
"LT","2012","111.8"
"LT","2013","112.3"
"LT","2014","107.9"
"LT","2015","105.7"
"LT","2016","106.3"
"LT","2017","101.0"
"LT","2018","102.8"
"LU","2000","100.0"
"LU","2001","101.3"
"LU","2002","105.9"
"LU","2003","106.1"
"LU","2004","108.2"
"LU","2005","108.7"
"LU","2006","108.4"
"LU","2007","104.7"
"LU","2008","103.9"
"LU","2009","105.3"
"LU","2010","104.5"
"LU","2011","105.0"
"LU","2012","105.6"
"LU","2013","103.0"
"LU","2014","100.5"
"LU","2015","96.3"
"LU","2016","93.0"
"LU","2017","91.8"
"LU","2018","91.4"
"LV","2000","100.0"
"LV","2001","98.6"
"LV","2002","99.3"
"LV","2003","95.7"
"LV","2004","93.6"
"LV","2005","92.8"
"LV","2006","94.1"
"LV","2007","95.4"
"LV","2008","94.1"
"LV","2009","89.7"
"LV","2010","96.2"
"LV","2011","91.3"
"LV","2012","84.5"
"LV","2013","85.1"
"LV","2014","83.3"
"LV","2015","86.0"
"LV","2016","86.6"
"LV","2017","83.4"
"LV","2018","84.1"
"MT","2000","100.0"
"MT","2001","95.2"
"MT","2002","103.3"
"MT","2003","103.4"
"MT","2004","96.0"
"MT","2005","90.1"
"MT","2006","90.3"
"MT","2007","90.6"
"MT","2008","89.4"
"MT","2009","89.9"
"MT","2010","87.4"
"MT","2011","87.4"
"MT","2012","89.3"
"MT","2013","87.5"
"MT","2014","86.7"
"MT","2015","72.5"
"MT","2016","61.7"
"MT","2017","59.7"
"MT","2018","57.6"
"NL","2000","100.0"
"NL","2001","100.8"
"NL","2002","99.4"
"NL","2003","98.0"
"NL","2004","97.7"
"NL","2005","96.8"
"NL","2006","95.0"
"NL","2007","95.5"
"NL","2008","98.2"
"NL","2009","97.3"
"NL","2010","97.3"
"NL","2011","96.2"
"NL","2012","94.4"
"NL","2013","96.0"
"NL","2014","96.9"
"NL","2015","99.9"
"NL","2016","97.9"
"NL","2017","95.0"
"NL","2018","93.4"
"NO","2000","100.0"
"NO","2001","98.3"
"NO","2002","105.4"
"NO","2003","100.6"
"NO","2004","101.4"
"NO","2005","98.9"
"NO","2006","99.5"
"NO","2007","102.3"
"NO","2008","85.2"
"NO","2009","86.8"
"NO","2010","86.3"
"NO","2011","97.7"
"NO","2012","95.3"
"NO","2013","82.5"
"NO","2014","93.8"
"NO","2015","92.4"
"NO","2016","93.5"
"NO","2017","86.9"
"NO","2018","91.0"
"PL","2000","100.0"
"PL","2001","99.6"
"PL","2002","98.5"
"PL","2003","99.4"
"PL","2004","100.3"
"PL","2005","99.2"
"PL","2006","97.8"
"PL","2007","97.2"
"PL","2008","94.7"
"PL","2009","95.4"
"PL","2010","93.2"
"PL","2011","92.2"
"PL","2012","94.1"
"PL","2013","92.5"
"PL","2014","92.1"
"PL","2015","92.3"
"PL","2016","90.9"
"PL","2017","90.3"
"PL","2018","88.7"
"PT","2000","100.0"
"PT","2001","99.9"
"PT","2002","102.6"
"PT","2003","97.0"
"PT","2004","97.6"
"PT","2005","98.7"
"PT","2006","96.6"
"PT","2007","91.3"
"PT","2008","90.2"
"PT","2009","89.8"
"PT","2010","84.9"
"PT","2011","85.8"
"PT","2012","88.4"
"PT","2013","84.2"
"PT","2014","81.9"
"PT","2015","86.9"
"PT","2016","85.0"
"PT","2017","88.1"
"PT","2018","85.4"
"RO","2000","100.0"
"RO","2001","102.8"
"RO","2002","100.7"
"RO","2003","99.7"
"RO","2004","97.1"
"RO","2005","97.4"
"RO","2006","95.3"
"RO","2007","98.0"
"RO","2008","97.5"
"RO","2009","95.1"
"RO","2010","90.7"
"RO","2011","93.4"
"RO","2012","92.8"
"RO","2013","91.8"
"RO","2014","92.0"
"RO","2015","90.8"
"RO","2016","88.4"
"RO","2017","86.2"
"RO","2018","84.3"
"SE","2000","100.0"
"SE","2001","95.8"
"SE","2002","95.2"
"SE","2003","99.1"
"SE","2004","93.1"
"SE","2005","90.3"
"SE","2006","92.4"
"SE","2007","91.2"
"SE","2008","88.1"
"SE","2009","93.3"
"SE","2010","90.6"
"SE","2011","83.0"
"SE","2012","78.8"
"SE","2013","77.1"
"SE","2014","74.8"
"SE","2015","78.5"
"SE","2016","73.5"
"SE","2017","71.0"
